Loss Minimization	Min Substation PF     Min voltage deviation
    1.0000                1.0000                   1.0000   
    0.9986                0.9986                   0.9990
    0.9918                0.9918                   0.9939
    0.9889                0.9889                   0.9918
    0.9862                0.9862                   0.9900
    0.9803                0.9803                   0.9873
    0.9799                0.9799                   0.9883
    0.9789                0.9789                   0.9877
    0.9795                0.9795                   0.9899
    0.9807                0.9807                   0.9926
    0.9809                0.9809                   0.9929
    0.9814                0.9814                   0.9936
    0.9854                0.9854                   1.0000
    0.9879                0.9879                   1.0039
    0.9886                0.9886                   1.0051
    0.9898                0.9898                   1.0067
    0.9934                0.9934                   1.0117
    0.9952                0.9952                   1.0141
    0.9985                0.9985                   0.9991
    0.9984                0.9984                   1.0009
    0.9987                0.9987                   1.0019
    0.9981                0.9981                   1.0013
    0.9894                0.9894                   0.9922
    0.9851                0.9851                   0.9896
    0.9841                0.9841                   0.9902
    0.9796                0.9796                   0.9870
    0.9788                0.9788                   0.9866
    0.9756                0.9756                   0.9858
    0.9736                0.9736                   0.9856
    0.9732                0.9732                   0.9858
    0.9731                0.9731                   0.9868
    0.9735                0.9735                   0.9877
    0.9749                0.9749                   0.9898
                          
